,source_url,site_name,site_url,title,img_url,description
0,https://www.thedailyreview.com/news/local/keller-talks-tungsten-trade-with-gtp/article_bae75446-a89f-507c-bb2f-0ca5f7360639.html,The Daily Review,https://www.thedailyreview.com/news/local/keller-talks-tungsten-trade-with-gtp/article_bae75446-a89f-507c-bb2f-0ca5f7360639.html,Keller talks tungsten trade with GTP,https://bloximages.chicago2.vip.townnews.com/thedailyreview.com/content/tncms/assets/v3/editorial/5/de/5dea8e45-2e92-50e9-ba3a-d599cfe324c2/5da106a723cf9.image.jpg?resize=945%2C630,"TOWANDA — U.S. Congressman Fred Keller (R-12) was back in Bradford County Friday, this time to meet with officials of the Global Tungsten and Powders Corporation before touring the Towanda"
1,https://www.standard.co.uk/news/crime/hyde-park-bomb-suspect-denied-bail-for-1972-double-murder-charges-a4260101.html,Evening Standard,https://www.standard.co.uk/news/crime/hyde-park-bomb-suspect-denied-bail-for-1972-double-murder-charges-a4260101.html,'Flight risk' Hyde Park bomb suspect denied bail for murder charges,https://static.standard.co.uk/s3fs-public/thumbnails/image/2019/10/12/16/pri89549240.jpg,"Hyde Park bomb suspect John Downey has been refused bail for charges relating to a separate alleged murder of two soldiers. John Downey, 67, is accused of the murders of two Ulster Defence Regiment soldiers in August 1972 and a further explosives charge. Downey was extradited to the UK after being arrested in the Republic of Ireland. The soldiers died in a car bomb attack in Co Fermanagh."
2,https://dailystandard.com/archive/2019-10-12/stories/38917/group-not-shy-about-gun-safety-legislation,The Daily Standard,https://dailystandard.com/archive/2019-10-12/stories/38917/group-not-shy-about-gun-safety-legislation,Group not shy about gun safety legislation,https://dailystandard.com/picts/2019/10/12/2019-10-12_1_full.jpg,CELINA - Local political activist Cheryl Davis said almost everyone she has talked to at various events for the last several months has agreed to sign a petition that would close state loopholes in ba ...
3,https://www.dailytrust.com.ng/the-road-to-2050-propositions-from-nesg.html,Daily Trust,https://www.dailytrust.com.ng/the-road-to-2050-propositions-from-nesg.html,The road to 2050: Propositions from NESG – Daily Trust,https://cdn.dailytrust.com.ng/wp-content/uploads/2019/10/NESG.jpg,"The Nigerian Economic Summit Group (NESG) meeting of October 7 and 8, 2019 was a massive gathering of key economic stakeholders from within and outside Nigeria. The event was attended by President Muhammadu Buhari, the Minister of Finance, Budget and National Planning, Mrs. Zainab Shamsuna Ahmed, the DG Budget, Mr. Ben Akabueze, the governors of …"
4,https://www.malaysiakini.com/news/495536,Malaysiakini,https://www.malaysiakini.com/news/495536,Facebook's Libra currency abandoned by major financial companies,https://i.ncdn.xyz/publisher-c1a3f893382d2b2f8a9aa22a654d9c97/2019/10/2438353e98acfd0110f7c028bfdac526.jpg,The remaining companies still supporting Libra are mostly venture capitalists and technology firms.
5,https://patriotla.iheart.com/content/2019-10-11-gov-newsom-signs-bill-banning-gun-shows-at-del-mar-fairgrounds/,KEIB-AM,https://patriotla.iheart.com/content/2019-10-11-gov-newsom-signs-bill-banning-gun-shows-at-del-mar-fairgrounds/,Gov. Newsom Signs Bill Banning Gun Shows at Del Mar Fairgrounds | KEIB-AM,https://i.iheart.com/v3/re/new_assets/5da101823a864dfa5647982e,Gov. Gavin Newsom signed a bill today co-authored by three San Diego lawmakers that will ban the sale of guns and ammunition at gun shows at the Del Mar Fairgrounds.
6,https://www.unionleader.com/news/crime/two-shot-at-pelham-church-wedding/article_47642470-9470-5405-9950-d93052742584.html,UnionLeader.com,https://www.unionleader.com/news/crime/two-shot-at-pelham-church-wedding/article_47642470-9470-5405-9950-d93052742584.html,Two shot at Pelham church wedding,https://bloximages.newyork1.vip.townnews.com/unionleader.com/content/tncms/assets/v3/editorial/5/4d/54d2533b-f131-5722-b3c2-e8d04b754e12/5da201a707765.image.jpg?resize=1200%2C565,"PELHAM — A church pastor and the bride were shot and wounded during a wedding at New England Pentecostal Ministries church Saturday morning, according to authorities."
7,https://www.rollingstone.com/politics/politics-news/shep-smith-fox-news-propaganda-898293/,Rolling Stone,https://www.rollingstone.com/politics/politics-news/shep-smith-fox-news-propaganda-898293/,"With Shep Smith Gone, Is Fox News' Transition to Propaganda Complete?",https://www.rollingstone.com/wp-content/uploads/2019/10/Screen-Shot-2019-10-12-at-1.29.13-PM-copy-1.jpg,"Unlike most of the voices heard on Fox News, the anchor brought truthful analysis and fact checking of the president to his daytime program"
8,,,,,,
9,,,,,,
10,https://en.radiofarda.com/a/soleimani-knows-his-assassination-is-not-impossible-says-mossad-chief/30213416.html,RFE/RL,https://en.radiofarda.com/a/soleimani-knows-his-assassination-is-not-impossible-says-mossad-chief/30213416.html,"Soleimani Knows His Assassination 'Is Not Impossible', Says Mossad Chief",https://gdb.rferl.org/415EABDB-E7DC-4C28-9984-112C39389CD3_w1200_r1_s.jpg,In one of his rare media appearances Iranian revolutionary guard IRGC's Qods Force Commander Qassem Soleimani claimed in a late September interview aired on Iranian state TV that Israel had planned to assassinate him.
11,https://www.malaymail.com/news/showbiz/2019/10/12/de-niro-talks-trump-and-acting-technique-at-london-film-fest/1799608,,https://www.malaymail.com/news/showbiz/2019/10/12/de-niro-talks-trump-and-acting-technique-at-london-film-fest/1799608,De Niro talks Trump and acting technique at London Film Fest | Malay Mail,https://media.malaymail.com/resize_cache/uploads/articles/2019/2019-10/20101012scorsese_deniro-seo.jpg,"LONDON, Oct 12 — Legendary Hollywood actor Robert De Niro renewed his criticism of Donald Trump yesterday, telling a London audience the US president was trying to “destroy” American institutions “to save himself”. &nbsp; In a wide-ranging question-and-answer event at the London Film..."
